X Gaze Data, Y Gaze Data, Time 
806,521,866493099
805,521,866493107
806,521,866493119
811,522,866493130
811,522,866493146
812,522,866493152
817,523,866493177
816,523,866493186
818,523,866493196
817,522,866493208
815,518,866493219
817,519,866493230
821,519,866493255
836,523,866493263
838,523,866493274
851,523,866493301
857,524,866493307
857,521,866493319
855,519,866493331
854,518,866493340
854,518,866493352
859,515,866493363
859,515,866493374
860,515,866493386
860,516,866493411
861,520,866493419
862,520,866493429
862,521,866493442
862,521,866493452
860,523,866493463
860,522,866493488
853,525,866493496
852,526,866493507
852,527,866493534
856,527,866493540
856,527,866493552
855,527,866493566
852,526,866493574
851,526,866493585
851,525,866493597
851,525,866493607
852,525,866493619
848,526,866493644
840,525,866493652
834,525,866493663
829,525,866493675
814,526,866493686
811,525,866493696
810,525,866493722
808,523,866493729
808,522,866493740
808,522,866493753
809,521,866493762
809,522,866493773
809,522,866493799
824,520,866493806
825,520,866493817
830,533,866494003
828,534,866494011
828,531,866494023
827,528,866494034
828,528,866494049
828,528,866494057
827,527,866494081
826,527,866494090
826,526,866494100
826,526,866494113
825,524,866494123
825,524,866494134
825,524,866494160
826,523,866494167
826,523,866494178
827,524,866494206
829,524,866494211
831,528,866494223
831,528,866494236
831,528,866494244
831,528,866494257
832,530,866494267
833,530,866494283
833,529,866494290
832,531,866494315
831,530,866494323
830,525,866494334
830,521,866494347
828,522,866494356
826,522,866494367
826,523,866494378
828,525,866494390
829,525,866494400
829,525,866494426
832,525,866494434
833,524,866494444
835,525,866494458
837,524,866494467
838,523,866494478
837,519,866494490
837,519,866494506
837,518,866494511
838,520,866494537
836,521,866494544
836,521,866494556
837,522,866494569
837,521,866494578
837,521,866494590
836,520,866494600
836,520,866494611
835,521,866494623
833,518,866494647
811,524,866494656
808,525,866494667
805,526,866494678
799,531,866494690
798,531,866494700
796,532,866494726
792,533,866494733
792,535,866494744
793,534,866494772
793,532,866494777
794,532,866494789
796,530,866494802
796,529,866494811
794,528,866494823
794,527,866494834
794,527,866494849
795,529,866494856
793,528,866494881
793,527,866494889
795,527,866494900
852,527,866494913
900,531,866494923
912,532,866494933
917,532,866494958
932,529,866494967
934,529,866494977
934,529,866495005
938,527,866495011
938,526,866495023
937,524,866495035
935,521,866495044
935,521,866495056
936,522,866495081
937,523,866495089
934,524,866495100
934,524,866495113
937,522,866495122
937,522,866495133
937,523,866495145
937,523,866495156
937,524,866495166
940,523,866495192
949,522,866495200
954,522,866495210
971,523,866495223
978,523,866495233
980,522,866495244
981,522,866495256
979,522,866495268
980,522,866495277
980,522,866495289
976,523,866495315
976,523,866495322
975,524,866495333
975,524,866495347
976,524,866495356
979,522,866495366
979,521,866495393
981,521,866495400
982,521,866495425
983,522,866495433
983,522,866495444
982,521,866495456
979,522,866495466
978,524,866495477
978,524,866495489
978,524,866495502
978,524,866495510
979,524,866495522
979,524,866495534
979,525,866495544
984,524,866495556
985,524,866495581
1015,522,866495589
1023,521,866495600
1032,520,866495612
1046,515,866495623
1049,514,866495633
1051,513,866495644
1052,514,866495660
1052,518,866495666
1054,519,866495691
1055,518,866495700
1056,518,866495710
1055,517,866495722
1054,518,866495733
1053,518,866495743
1053,520,866495755
1054,521,866495769
1053,521,866495777
1053,521,866495789
1053,521,866495800
1052,519,866495816
